loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"3226-8","Coagulation factor XI activity actual/Normal","PPP","Qn","Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor XI activity actual/normal Coag (PPP) [Relative time]"
"4542-7","Haptoglobin","Ser/Plas","Qn","Haptoglobin [Mass/volume] in Serum or Plasma","mg/dL","Haptoglobin [Mass/Vol]"
"35107-2","Norclobazam","Ser/Plas","Qn","Norclobazam [Mass/volume] in Serum or Plasma","ng/mL","Norclobazam [Mass/Vol]"
"3239-1","Coagulation factor XIII Ag actual/Normal","PPP","Qn","Coagulation factor XIII Ag actual/normal in Platelet poor plasma by Immunoassay","%","Coagulation factor XIII Ag actual/normal IA (PPP) [Relative mass conc]"
"24471-5","Platelet function.collagen+EPINEPHrine induced","Bld","Qn","Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood","s","Platelet function (closure time) collagen+EPINEPHrine induced (Bld) [Time]"
"40162-0","Glucose^3H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --3 hours post XXX challenge","mmol/L","Glucose 3 Hr post Unsp challenge [Moles/Vol]"
"3552-7","diazePAM^trough","Ser/Plas","Qn","diazePAM [Mass/volume] in Serum or Plasma --trough","ng/mL","diazePAM trough [Mass/Vol]"
"14881-7","Phosphate","Urine","Qn","Phosphate [Moles/time] in 24 hour Urine","mmol/(24.h)","Phosphate (24H U) [Moles/Time]"
"21027-8","Platelet aggregation","PPP","Nom","Platelet aggregation [Interpretation] in Platelet poor plasma","","Platelet aggregation (PPP) [Interp]"
"3584-0","Doxepin^trough","Ser/Plas","Qn","Doxepin [Mass/volume] in Serum or Plasma --trough","ng/mL","Doxepin trough [Mass/Vol]"
"93495-0","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine","Urine","Ord","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Urine by Screen method","","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) Screen Ql (U)"
"14720-7","Ethosuximide","Ser/Plas","Qn","Ethosuximide [Moles/volume] in Serum or Plasma","umol/L","Ethosuximide [Moles/Vol]"
"48415-4","Alpha-1-Microglobulin/Creatinine","Urine","Qn","Alpha-1-Microglobulin/Creatinine [Mass Ratio] in Urine","mg/g{creat}","Alpha-1-Microglobulin/Creatinine (U) [Mass ratio]"
"32294-1","Albumin/Creatinine","Urine","Qn","Albumin/Creatinine [Ratio] in Urine","mg/mmol{creat}","Albumin/Creatinine (U) [Ratio]"
"3636-8","fentaNYL","Ser/Plas","Qn","fentaNYL [Mass/volume] in Serum or Plasma","ug/mL","fentaNYL [Mass/Vol]"
"14637-3","Calcium","Urine","Qn","Calcium [Moles/time] in 24 hour Urine","mmol/(24.h)","Calcium (24H U) [Moles/Time]"
"10987-6","Fluconazole","Ser/Plas","Qn","Fluconazole [Mass/volume] in Serum or Plasma","ug/mL","Fluconazole [Mass/Vol]"
"25425-0","Gabapentin","Ser/Plas","Qn","Gabapentin [Moles/volume] in Serum or Plasma","umol/L","Gabapentin [Moles/Vol]"
"25665-1","Glucose^1H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","mmol/L","Glucose 1 Hr post Unsp challenge [Moles/Vol]"
"5909-7","Blood smear finding","Bld","Nom","Blood smear finding [Identifier] in Blood by Light microscopy","","Blood smear finding LM Nom (Bld)"
"2828-2","Potassium","Urine","Qn","Potassium [Moles/volume] in Urine","mmol/L","Potassium (U) [Moles/Vol]"
"31179-5","Lopinavir","Ser/Plas","Qn","Lopinavir [Mass/volume] in Serum or Plasma","ug/mL","Lopinavir [Mass/Vol]"
"30341-2","Erythrocyte sedimentation rate","Bld","Qn","Erythrocyte sedimentation rate","mm/h","ESR (Bld) [Velocity]"
"2955-3","Sodium","Urine","Qn","Sodium [Moles/volume] in Urine","mmol/L","Sodium (U) [Moles/Vol]"
"60024-7","Lactate dehydrogenase","CSF","Qn","Lactate dehydrogenase [Enzymatic activity/volume] in Cerebral spinal fluid by Lactate to pyruvate reaction","U/L","LDH Lactate to pyruvate reaction (CSF) [Catalytic activity/Vol]"
"3772-1","Methadone","Ser/Plas","Qn","Methadone [Mass/volume] in Serum or Plasma","ng/mL","Methadone [Mass/Vol]"
"3772-1","Methadone","Ser/Plas","Qn","Methadone [Mass/volume] in Serum or Plasma","ng/mL","Methadone [Mass/Vol]"
"2520-5","Lactate","CSF","Qn","Lactate [Moles/volume] in Cerebral spinal fluid","mmol/L","Lactate (CSF) [Moles/Vol]"
"2888-6","Protein","Urine","Qn","Protein [Mass/volume] in Urine","g/dL","Protein (U) [Mass/Vol]"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"19578-4","Methylphenidate","Urine","Ord","Methylphenidate [Presence] in Urine by Confirmatory method","","Methylphenidate Confirm Ql (U)"
"3868-7","Norfluoxetine","Ser/Plas","Qn","Norfluoxetine [Mass/volume] in Serum or Plasma","ug/L","Norfluoxetine [Mass/Vol]"
"80200-9","Nonsteroidal antiinflammatory drugs","Urine","Ord","Nonsteroidal antiinflammatory drugs [Presence] in Urine by Screen method","","Nonsteroidal antiinflammatory drugs Screen Ql (U)"
"48362-8","O-desmethylvenlafaxine","Ser/Plas","Qn","O-desmethylvenlafaxine [Moles/volume] in Serum or Plasma","nmol/L","O-desmethylvenlafaxine [Moles/Vol]"
"33415-1","IgG","Urine","Qn","IgG [Mass/volume] in Urine","mg/dL","IgG (U) [Mass/Vol]"
"28541-1","Metamyelocytes/100 leukocytes","Bld","Qn","Metamyelocytes/100 leukocytes in Blood","%","Metamyelocytes/100 WBC (Bld)"
"14887-4","Primidone","Ser/Plas","Qn","Primidone [Moles/volume] in Serum or Plasma","umol/L","Primidone [Moles/Vol]"
"39799-2","risperiDONE","Ser/Plas","Qn","risperiDONE [Moles/volume] in Serum or Plasma","nmol/L","risperiDONE [Moles/Vol]"
"783-1","Promyelocytes/100 leukocytes","Bld","Qn","Promyelocytes/100 leukocytes in Blood by Manual count","%","Promyelocytes/100 WBC Manual cnt (Bld)"
"25541-4","Topiramate","Ser/Plas","Qn","Topiramate [Moles/volume] in Serum or Plasma","umol/L","Topiramate [Moles/Vol]"
"14628-2","Bile acid","Ser/Plas","Qn","Bile acid [Moles/volume] in Serum or Plasma","umol/L","Bile acid [Moles/Vol]"
"751-8","Neutrophils","Bld","Qn","Neutrophils [#/volume] in Blood by Automated count","10*3/uL","Neutrophils Auto (Bld) [#/Vol]"
"5905-5","Monocytes/100 leukocytes","Bld","Qn","Monocytes/100 leukocytes in Blood by Automated count","%","Monocytes/100 WBC Auto (Bld)"
"713-8","Eosinophils/100 leukocytes","Bld","Qn","Eosinophils/100 leukocytes in Blood by Automated count","%","Eosinophils/100 WBC Auto (Bld)"
"704-7","Basophils","Bld","Qn","Basophils [#/volume] in Blood by Automated count","10*3/uL","Basophils Auto (Bld) [#/Vol]"
"34999-3","Polymorphonuclear cells/100 leukocytes","Bld","Qn","Polymorphonuclear cells/100 leukocytes in Blood","%","Polymorphonuclear cells/100 WBC (Bld)"
"5909-7","Blood smear finding","Bld","Nom","Blood smear finding [Identifier] in Blood by Light microscopy","","Blood smear finding LM Nom (Bld)"
"26512-4","Neutrophils/100 leukocytes","CSF","Qn","Neutrophils/100 leukocytes in Cerebral spinal fluid","%","Neutrophils/100 WBC (CSF)"
"26474-7","Lymphocytes","Bld","Qn","Lymphocytes [#/volume] in Blood","10*3/uL","Lymphocytes (Bld) [#/Vol]"
"743-5","Monocytes","Bld","Qn","Monocytes [#/volume] in Blood by Manual count","10*3/uL","Monocytes Manual cnt (Bld) [#/Vol]"
"26444-0","Basophils","Bld","Qn","Basophils [#/volume] in Blood","10*3/uL","Basophils (Bld) [#/Vol]"
"749-2","Myelocytes/100 leukocytes","Bld","Qn","Myelocytes/100 leukocytes in Blood by Manual count","%","Myelocytes/100 WBC Manual cnt (Bld)"
"29261-5","Lymphocytes.abnormal/100 leukocytes","Bld","Qn","Abnormal lymphocytes/100 leukocytes in Blood by Manual count","%","Abnormal lymphocytes/100 WBC Manual cnt (Bld)"
"33990-3","Normoblasts/100 leukocytes","Bld","Qn","Normoblasts/100 leukocytes in Blood","/100{WBCs}","Normoblasts/100 WBC (Bld)"
"789-8","Erythrocytes","Bld","Qn","Erythrocytes [#/volume] in Blood by Automated count","10*6/uL","RBC Auto (Bld) [#/Vol]"
"713-8","Eosinophils/100 leukocytes","Bld","Qn","Eosinophils/100 leukocytes in Blood by Automated count","%","Eosinophils/100 WBC Auto (Bld)"
"5905-5","Monocytes/100 leukocytes","Bld","Qn","Monocytes/100 leukocytes in Blood by Automated count","%","Monocytes/100 WBC Auto (Bld)"
"4679-7","Reticulocytes/100 erythrocytes","Bld","Qn","Reticulocytes/100 erythrocytes in Blood","%","Reticulocytes/100 RBC (Bld)"
"19075-1","Cells counted.total","CSF","Qn","Cells Counted Total [#] in Cerebral spinal fluid","{#}","Cells Counted Total (CSF) [#]"
"26465-5","Leukocytes","CSF","Qn","Leukocytes [#/volume] in Cerebral spinal fluid","/uL","WBC (CSF) [#/Vol]"
"35001-7","Polymorphonuclear cells","CSF","Qn","Polymorphonuclear cells [#/volume] in Cerebral spinal fluid","10*3/uL","Polymorphonuclear cells (CSF) [#/Vol]"
"14979-9","Coagulation surface induced","PPP","Qn","aPTT in Platelet poor plasma by Coagulation assay","s","aPTT Coag (PPP) [Time]"
"3289-6","Prothrombin.activity actual/Normal","PPP","Qn","Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay","%","Prothrombin activity actual/normal Coag (PPP) [Relative time]"
"48066-5","Fibrin D-dimer DDU","PPP","Qn","Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma","ug/L{DDU}","Fibrin D-dimer DDU (PPP) [Mass/Vol]"
"74217-1","Fondaparinux","PPP","Qn","Fondaparinux [Mass/volume] in Platelet poor plasma by Chromogenic method","ug/mL;ng/mL","Fondaparinux Chromogenic method (PPP) [Mass/Vol]"
"3209-4","Coagulation factor VIII activity actual/Normal","PPP","Qn","Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor VIII activity actual/normal Coag (PPP) [Relative time]"
"3187-2","Coagulation factor IX activity actual/Normal","PPP","Qn","Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor IX activity actual/normal Coag (PPP) [Relative time]"
"3226-8","Coagulation factor XI activity actual/Normal","PPP","Qn","Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor XI activity actual/normal Coag (PPP) [Relative time]"
"24471-5","Platelet function.collagen+EPINEPHrine induced","Bld","Qn","Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood","s","Platelet function (closure time) collagen+EPINEPHrine induced (Bld) [Time]"
"49011-0","Platelet aggregation.arachidonate induced","PRP","Qn","Platelet aggregation arachidonate induced [Units/volume] in Platelet rich plasma","[arb'U]","Platelet aggregation arachidonate induced Qn (PRP)"
"28660-9","Plasminogen actual/Normal","PPP","Qn","Plasminogen actual/normal in Platelet poor plasma by Chromogenic method","%","Plasminogen actual/normal Chromogenic method (PPP) [Rel catalytic activity/Vol]"
"27819-2","Protein C actual/Normal","PPP","Qn","Protein C actual/normal in Platelet poor plasma by Coagulation assay","%","Protein C actual/normal Coag (PPP) [Relative time]"
"27823-4","Protein S Ag actual/Normal","PPP","Qn","Protein S Ag actual/normal in Platelet poor plasma by Immunoassay","%","Protein S Ag actual/normal IA (PPP) [Relative mass conc]"
"3282-1","Coagulation surface induced.hexagonal phase phospholipid","PPP","Qn","aPTT W excess hexagonal phase phospholipid in Platelet poor plasma by Coagulation assay","s","aPTT W excess hexagonal phase phospholipid Coag (PPP) [Time]"
"14182-0","Thrombin antithrombin complex Ag","PPP","Qn","Thrombin antithrombin complex Ag [Mass/volume] in Platelet poor plasma by Immunoassay","ng/mL","Thrombin antithrombin complex Ag IA (PPP) [Mass/Vol]"
"40824-5","von Willebrand factor cleaving protease inhibitor","PPP","Qn","von Willebrand factor (vWf) cleaving protease inhibitor [Units/volume] in Platelet poor plasma","[arb'U]/mL","vWf cleaving protease inhibitor Qn (PPP)"
"8117-4","Cells.CD19/100 cells","Bld","Qn","CD19 cells/100 cells in Blood","%","CD19 cells/100 cells (Bld)"
"42189-1","Cells.CD3+CD16+CD56+/100 cells","Bld","Qn","CD3+CD16+CD56+ cells/100 cells in Blood","%","CD3+CD16+CD56+ cells/100 cells (Bld)"
"8116-6","Cells.CD19","Bld","Qn","CD19 cells [#/volume] in Blood","/uL","CD19 cells (Bld) [#/Vol]"
"42188-3","Cells.CD3+CD16+CD56+","Bld","Qn","CD3+CD16+CD56+ cells [#/volume] in Blood","/uL","CD3+CD16+CD56+ cells (Bld) [#/Vol]"
"60834-9","Body temperature","Bld","Qn","Blood temperature","Cel;[degF]",""
"1960-4","Bicarbonate","BldA","Qn","Bicarbonate [Moles/volume] in Arterial blood","mmol/L","HCO3 (BldA) [Moles/Vol]"
"2703-7","Oxygen","BldA","Qn","Oxygen [Partial pressure] in Arterial blood","mm[Hg]","Oxygen (BldA) [Partial pressure]"
"32717-1","Sodium","BldA","Qn","Sodium [Moles/volume] in Arterial blood","mmol/L","Sodium (BldA) [Moles/Vol]"
"73581-1","Anion gap 4","BldA","Qn","Anion gap 4 in Arterial blood","mmol/L","Anion gap 4 (BldA) [Moles/Vol]"
"39481-7","Glucose","BldA","Qn","Glucose [Moles/volume] in Arterial blood","mmol/L","Glucose (BldA) [Moles/Vol]"
"2615-3","Methemoglobin/Hemoglobin.total","BldA","Qn","Methemoglobin/Hemoglobin.total in Arterial blood","%","Methemoglobin (BldA) [Mass fraction]"
"19214-6","Oxygen^^saturation adjusted to 0.5","BldA","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldA) [Partial pressure]"
"39791-9","Sodium","BldV","Qn","Sodium [Moles/volume] in Venous blood","mmol/L","Sodium (BldV) [Moles/Vol]"
"39789-3","Potassium","BldV","Qn","Potassium [Moles/volume] in Venous blood","mmol/L","Potassium (BldV) [Moles/Vol]"
"2746-6","pH","BldV","Qn","pH of Venous blood","[pH]","pH (BldV)"
"41645-3","Calcium.ionized","BldV","Qn","Calcium.ionized [Moles/volume] in Venous blood","mmol/L","Calcium.ionized (BldV) [Moles/Vol]"
"39480-9","Glucose","BldV","Qn","Glucose [Moles/volume] in Venous blood","mmol/L","Glucose (BldV) [Moles/Vol]"
"2711-0","Oxygen saturation","BldV","Qn","Oxygen saturation in Venous blood","%",""
"2032-1","Carboxyhemoglobin/Hemoglobin.total","BldV","Qn","Carboxyhemoglobin/Hemoglobin.total in Venous blood","%","Carboxyhemoglobin (BldV) [Mass fraction]"
"2519-7","Lactate","BldV","Qn","Lactate [Moles/volume] in Venous blood","mmol/L","Lactate (BldV) [Moles/Vol]"
"2075-0","Chloride","Ser/Plas","Qn","Chloride [Moles/volume] in Serum or Plasma","mmol/L","Chloride [Moles/Vol]"
"29265-6","Calcium^^corrected for albumin","Ser/Plas","Qn","Calcium [Moles/volume] corrected for albumin in Serum or Plasma","mmol/L","Calcium corrected for albumin [Moles/Vol]"
"14682-9","Creatinine","Ser/Plas","Qn","Creatinine [Moles/volume] in Serum or Plasma","umol/L","Creatinine [Moles/Vol]"
"22664-7","Urea","Ser/Plas","Qn","Urea [Moles/volume] in Serum or Plasma","mmol/L","Urea [Moles/Vol]"
"14629-0","Bilirubin.glucuronidated+Bilirubin.albumin bound","Ser/Plas","Qn","Bilirubin.direct [Moles/volume] in Serum or Plasma","umol/L","Bilirubin.direct [Moles/Vol]"
"1743-4","Alanine aminotransferase","Ser/Plas","Qn","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","U/L","ALT With P-5'-P [Catalytic activity/Vol]"
"2098-2","Cholinesterase","Ser/Plas","Qn","Cholinesterase [Enzymatic activity/volume] in Serum or Plasma","U/L","Cholinesterase [Catalytic activity/Vol]"
"14927-8","Triglyceride","Ser/Plas","Qn","Triglyceride [Moles/volume] in Serum or Plasma","mmol/L","Triglyceride [Moles/Vol]"
"32309-7","Cholesterol.total/Cholesterol.in HDL","Ser/Plas","Qn","Cholesterol.total/Cholesterol in HDL [Molar ratio] in Serum or Plasma","","Cholesterol.total/Cholesterol in HDL [Molar ratio]"
"1751-7","Albumin","Ser/Plas","Qn","Albumin [Mass/volume] in Serum or Plasma","g/dL","Albumin [Mass/Vol]"
"26881-3","Interleukin 6","Ser/Plas","Qn","Interleukin 6 [Mass/volume] in Serum or Plasma","pg/mL","Interleukin 6 [Mass/Vol]"
"1798-8","Amylase","Ser/Plas","Qn","Amylase [Enzymatic activity/volume] in Serum or Plasma","U/L","Amylase [Catalytic activity/Vol]"
"1805-1","Amylase.pancreatic","Ser/Plas","Qn","Amylase.pancreatic [Enzymatic activity/volume] in Serum or Plasma","U/L","Amylase.pancreatic [Catalytic activity/Vol]"
"83106-5","Myoglobin","Ser/Plas","Qn","Myoglobin [Mass/volume] in Serum or Plasma by Immunoassay","ug/L","Myoglobin IA [Mass/Vol]"
"14749-6","Glucose","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma","mmol/L","Glucose [Moles/Vol]"
"2524-7","Lactate","Ser/Plas","Qn","Lactate [Moles/volume] in Serum or Plasma","mmol/L","Lactate [Moles/Vol]"
"3034-6","Transferrin","Ser/Plas","Qn","Transferrin [Mass/volume] in Serum or Plasma","mg/dL","Transferrin [Mass/Vol]"
"30248-9","Transferrin receptor.soluble","Ser/Plas","Qn","Transferrin receptor.soluble [Mass/volume] in Serum or Plasma","mg/L","Transferrin receptor.soluble [Mass/Vol]"
"67151-1","Troponin T.cardiac","Ser/Plas","Qn","Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method","ng/L","Troponin T.cardiac High sensitivity method [Mass/Vol]"
"59164-4","Alkaline phosphatase","Dial fld","Qn","Alkaline phosphatase [Enzymatic activity/volume] in Dialysis fluid","U/L","ALP (Dial fld) [Catalytic activity/Vol]"
"1998-4","Calcium","Dial fld","Qn","Calcium [Moles/volume] in Dialysis fluid","mmol/L","Calcium (Dial fld) [Moles/Vol]"
"53433-9","Creatine kinase","Dial fld","Qn","Creatine kinase [Enzymatic activity/volume] in Dialysis fluid","U/L","CK (Dial fld) [Catalytic activity/Vol]"
"2820-9","Potassium","Dial fld","Qn","Potassium [Moles/volume] in Dialysis fluid","mmol/L","Potassium (Dial fld) [Moles/Vol]"
"55931-0","Lactate","Dial fld","Qn","Lactate [Moles/volume] in Dialysis fluid","mmol/L","Lactate (Dial fld) [Moles/Vol]"
"2949-6","Sodium","Dial fld","Qn","Sodium [Moles/volume] in Dialysis fluid","mmol/L","Sodium (Dial fld) [Moles/Vol]"
"5920-4","Protein","Dial fld","Qn","Protein [Mass/volume] in Dialysis fluid","g/L","Protein (Dial fld) [Mass/Vol]"
"15148-0","Alkaline phosphatase","Body fld","Qn","Alkaline phosphatase [Enzymatic activity/volume] in Body fluid","U/L","ALP (Body fld) [Catalytic activity/Vol]"
"29767-1","Bilirubin","Body fld","Qn","Bilirubin.total [Moles/volume] in Body fluid","mmol/L","Bilirubin (Body fld) [Moles/Vol]"
"29765-5","Cholesterol","Body fld","Qn","Cholesterol [Moles/volume] in Body fluid","mmol/L","Cholesterol (Body fld) [Moles/Vol]"
"29764-8","Iron","Body fld","Qn","Iron [Moles/volume] in Body fluid","mmol/L","Iron (Body fld) [Moles/Vol]"
"25548-9","Urate","Body fld","Qn","Urate [Moles/volume] in Body fluid","umol/L","Urate (Body fld) [Moles/Vol]"
"14803-1","Lactate dehydrogenase","Body fld","Qn","Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction","U/L","LDH Lactate to pyruvate reaction (Body fld) [Catalytic activity/Vol]"
"2596-5","Magnesium","Body fld","Qn","Magnesium [Moles/volume] in Body fluid","mmol/L","Magnesium (Body fld) [Moles/Vol]"
"25501-8","Phosphate","Body fld","Qn","Phosphate [Moles/volume] in Body fluid","mmol/L","Phosphate (Body fld) [Moles/Vol]"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"46425-5","Lipemic interference index","Ser/Plas","Qn","Lipemic interference index of Serum or Plasma","[arb'U]/mL","Lipemic interference index Qn"
"46425-5","Lipemic interference index","Ser/Plas","Qn","Lipemic interference index of Serum or Plasma","[arb'U]/mL","Lipemic interference index Qn"
"46425-5","Lipemic interference index","Ser/Plas","Qn","Lipemic interference index of Serum or Plasma","[arb'U]/mL","Lipemic interference index Qn"
"46425-5","Lipemic interference index","Ser/Plas","Qn","Lipemic interference index of Serum or Plasma","[arb'U]/mL","Lipemic interference index Qn"
"43583-4","Lipoprotein (little a)","Ser/Plas","Qn","Lipoprotein a [Moles/volume] in Serum or Plasma","nmol/L","Lipoprotein a [Moles/Vol]"
"14921-1","Thyroxine","Ser/Plas","Qn","Thyroxine (T4) [Moles/volume] in Serum or Plasma","nmol/L","T4 [Moles/Vol]"
"14928-6","Triiodothyronine.free","Ser/Plas","Qn","Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma","pmol/L","Free T3 [Moles/Vol]"
"14731-4","Folate","RBC","Qn","Folate [Moles/volume] in Red Blood Cells","nmol/L","Folate (RBC) [Moles/Vol]"
"83090-1","Cortisol","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma by Immunoassay","nmol/L","Cortisol IA [Moles/Vol]"
"32313-9","Cortisol^30M post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge","nmol/L","Cortisol 30 Min post Unsp challenge [Moles/Vol]"
"16622-3","Clindamycin^trough","Ser/Plas","Qn","Clindamycin [Mass/volume] in Serum or Plasma --trough","ug/mL","Clindamycin trough [Mass/Vol]"
"789-8","Erythrocytes","Bld","Qn","Erythrocytes [#/volume] in Blood by Automated count","10*6/uL","RBC Auto (Bld) [#/Vol]"
"785-6","Erythrocyte mean corpuscular hemoglobin","RBC","Qn","MCH [Entitic mass] by Automated count","pg","MCH Auto (RBC) [Entitic mass]"
"777-3","Platelets","Bld","Qn","Platelets [#/volume] in Blood by Automated count","10*3/uL","Platelets Auto (Bld) [#/Vol]"
"14211-7","Hepatitis E virus Ab.IgG","Ser","Ord","Hepatitis E virus IgG Ab [Presence] in Serum","","HEV IgG Ql (S)"
"74278-3","Mycobacterium tuberculosis stimulated gamma interferon.ESAT-6 Ag spot count","Bld","Qn","Mycobacterium tuberculosis stimulated gamma interferon ESAT-6 Ag spot count [#] in Blood","{#}","M. tuberculosis stim IFN-g ESAT-6 Ag spot count (Bld) [#]"
"80962-4","ceFAZolin.free","Ser/Plas","Qn","ceFAZolin free [Mass/volume] in Serum or Plasma","mg/L","ceFAZolin free [Mass/Vol]"
"43883-8","Ampicillin","Ser/Plas","Ord","Ampicillin [Presence] in Serum or Plasma","","Ampicillin Ql"
"41458-1","SARS coronavirus RNA","XXX","Ord","SARS coronavirus RNA [Presence] in Specimen by NAA with probe detection","","SARS-CoV RNA NAA+probe Ql (Specimen)"
"94763-0","SARS coronavirus 2","XXX","Ord","SARS-CoV-2 (COVID-19) [Presence] in Specimen by Organism specific culture","","SARS-CoV-2 (COVID-19) Org specific cx Ql (Specimen)"
"94660-8","SARS coronavirus 2 RNA","Ser/Plas","Ord","SARS-CoV-2 (COVID-19) RNA [Presence] in Serum or Plasma by NAA with probe detection","","SARS-CoV-2 (COVID-19) RNA NAA+probe Ql"
"94746-5","SARS coronavirus 2 RNA","XXX","Qn","SARS-CoV-2 (COVID-19) RNA [Cycle Threshold #] in Specimen by NAA with probe detection","{Ct_value}","SARS-CoV-2 (COVID-19) RNA NAA+probe (Specimen) [ThreshNum]"
"94500-6","SARS coronavirus 2 RNA","Respiratory","Ord","SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection","","SARS-CoV-2 (COVID-19) RNA NAA+probe Ql (Resp)"
"60676-4","Ethyl sulfate","Urine","Qn","Ethyl sulfate [Mass/volume] in Urine","ng/mL","Ethyl sulfate (U) [Mass/Vol]"
"97097-0","SARS coronavirus 2 Ag","Respiratory.upper","Ord","SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay","","SARS-CoV-2 (COVID-19) Ag IA.rapid Ql (Upper resp)"
"100156-9","SARS coronavirus 2 variant","XXX","Nom","SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection","","SARS-CoV-2 (COVID-19) variant NAA+probe Nom (Specimen)"
"94763-0","SARS coronavirus 2","XXX","Ord","SARS-CoV-2 (COVID-19) [Presence] in Specimen by Organism specific culture","","SARS-CoV-2 (COVID-19) Org specific cx Ql (Specimen)"
"100156-9","SARS coronavirus 2 variant","XXX","Nom","SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection","","SARS-CoV-2 (COVID-19) variant NAA+probe Nom (Specimen)"
"94764-8","SARS coronavirus 2 whole genome","Isolate/Specimen","Nom","SARS-CoV-2 (COVID-19) whole genome [Nucleotide sequence] in Isolate or Specimen by Sequencing","","SARS-CoV-2 (COVID-19) genome sequence Nom (Islt/Spec)"
"100156-9","SARS coronavirus 2 variant","XXX","Nom","SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection","","SARS-CoV-2 (COVID-19) variant NAA+probe Nom (Specimen)"
"94746-5","SARS coronavirus 2 RNA","XXX","Qn","SARS-CoV-2 (COVID-19) RNA [Cycle Threshold #] in Specimen by NAA with probe detection","{Ct_value}","SARS-CoV-2 (COVID-19) RNA NAA+probe (Specimen) [ThreshNum]"
"75241-0","Procalcitonin","Ser/Plas","Qn","Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay","ng/mL","Procalcitonin IA [Mass/Vol]"
"35670-9","Tobramycin","Ser/Plas","Qn","Tobramycin [Mass/volume] in Serum or Plasma","mg/L","Tobramycin [Mass/Vol]"
"6301-6","Coagulation tissue factor induced.INR","PPP","Qn","INR in Platelet poor plasma by Coagulation assay","{INR}","INR Coag (PPP) [Relative time]"
"34999-3","Polymorphonuclear cells/100 leukocytes","Bld","Qn","Polymorphonuclear cells/100 leukocytes in Blood","%","Polymorphonuclear cells/100 WBC (Bld)"
"83085-1","Carcinoembryonic Ag","Ser/Plas","Qn","Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay","ng/mL","Carcinoembryonic Ag IA [Mass/Vol]"
"14801-5","Iron saturation","Ser/Plas","Qn","Iron saturation [Molar fraction] in Serum or Plasma","%","Iron saturation [Molar fraction]"
"3034-6","Transferrin","Ser/Plas","Qn","Transferrin [Mass/volume] in Serum or Plasma","mg/dL","Transferrin [Mass/Vol]"
"18343-4","6-Monoacetylmorphine","Ser/Plas","Ord","6-Monoacetylmorphine (6-MAM) [Presence] in Serum or Plasma by Screen method","","6-Monoacetylmorphine (6-MAM) Screen Ql"
"20421-4","Barbiturates","Ser/Plas","Ord","Barbiturates [Presence] in Serum or Plasma by Screen method","","Barbiturates Screen Ql"
"3391-0","Benzoylecgonine","Ser/Plas","Ord","Benzoylecgonine [Presence] in Serum or Plasma","","Benzoylecgonine Ql"
"4024-6","Salicylates","Ser/Plas","Qn","Salicylates [Mass/volume] in Serum or Plasma","mg/dL","Salicylates [Mass/Vol]"
"2887-8","Protein","Urine","Ord","Protein [Presence] in Urine","","Protein Ql (U)"
